1533,17965.3,12.01,11.7,spiral weld,,28.67191321,-81.30010155,85.62,78,0.351632505,0
1554,18219.01,11.99,11.7,spiral weld,,28.67368943,-81.29843587,89.14,83,0.069748135,0
1575,18448.18,8.05,11.7,spiral weld,,28.67538615,-81.2977462,89.07,84,0.088606593,0
1596,18627.48,3.7,11.7,spiral weld,,28.67693464,-81.29719587,89.51,81,0.102942122,0
1617,18868.3,12,11.7,spiral weld,,28.67909733,-81.29699387,90.33,83,0.047673515,0
1638,19098.52,9.86,11.7,spiral weld,,28.68117033,-81.2968072,90.39,83,0.231991879,0
1659,19286.69,7.62,11.7,spiral weld,,28.68286634,-81.29663464,92.01,87,0,0
1680,19502.53,12.64,11.7,spiral weld,,28.68481256,-81.29645028,93.15,85,0.088878168,0
1701,19755.62,11.98,11.7,spiral weld,,28.68709486,-81.29623938,94.07,87,0.034581624,0
1722,19919.91,1.35,NA,,T-piece,28.68857892,-81.29618402,95.64,90,0.008751264,0
1743,20089.27,11.64,11.7,spiral weld,,28.69005696,-81.29644464,94.97,89,0.077142088,0
1764,20321.92,12.02,11.7,spiral weld,,28.69201621,-81.29719101,95.52,92,0.069503157,0
1785,20567,11.94,11.7,spiral weld,,28.69423105,-81.29703353,94.74,77,0.019876388,0
1806,20811.46,11.86,11.7,spiral weld,,28.69644083,-81.29687315,95.55,82,0.05183636,0
1827,21062.93,11.99,11.7,spiral weld,,28.69870791,-81.29669515,96.58,82,0.309993805,0
1848,21307.52,9.95,11.7,spiral weld,,28.70090003,-81.29639469,96.84,80,0.052090922,0
1869,21518.86,12.03,11.7,spiral weld,,28.70278678,-81.29607526,96.28,92,0.103515756,0
1890,21765.05,9.67,11.7,spiral weld,,28.7049886,-81.29573179,97.7,87,0.044232248,0
1911,21988.25,12,11.7,spiral weld,,28.70698411,-81.29541284,99.53,93,0.109701729,0
1932,22235.47,7.15,11.7,spiral weld,,28.70917663,-81.29492645,100.83,94,0.051849427,0
1953,22471.04,12.76,11.7,spiral weld,,28.71126173,-81.29442858,100.91,99,0.621860859,0
1974,22713.43,13.64,11.7,spiral weld,,28.71340502,-81.29390322,101.82,96,0.077887882,0
1995,22965.94,12.01,11.7,spiral weld,,28.7156372,-81.29335489,103.12,102,0.123224075,0
2016,23170,9.74,11.7,spiral weld,,28.71744,-81.29291928,103.87,95,0.056703603,0
2037,23392.48,13.68,11.7,spiral weld,,28.71940584,-81.29244543,104.36,102,0.077630305,0
2058,23634.55,12.03,11.7,spiral weld,,28.72154521,-81.29193326,106.24,97,0.025229545,0
2079,23883.53,4.99,11.7,spiral weld,,28.72374516,-81.29140669,107.25,104,0.622311835,0
2100,24129.76,12.01,11.7,spiral weld,,28.72592181,-81.29088803,107.34,98,0.020951033,0
2121,24346.52,12.01,11.7,spiral weld,,28.7278378,-81.29042875,107.2,102,0,0
2142,24601.81,12.01,11.7,spiral weld,,28.73010048,-81.28993485,107.98,96,0.031003116,0
2163,24855.5,12.01,11.7,spiral weld,,28.7323708,-81.28963979,105.27,99,0.022145288,0
2174,24989.33,0.35,NA,,flange,28.73356878,-81.28948112,106.1,96,0.000943499,0
2175,24989.68,9.08,11.7,spiral weld,,28.733572,-81.28948072,106.1,96,0.001843368,0
2176,24998.76,3.66,12.9,,,28.73365316,-81.2894699,106.08,96,0.016721036,0
2177,25002.42,7.33,11.7,spiral weld,,28.73368241,-81.28945638,106.97,101,0,0
2178,25009.75,3.56,13.4,,,28.73372629,-81.28941188,110.53,102,0.027552989,0
2179,25013.31,0.99,11.7,spiral weld,,28.73375427,-81.2893978,111.48,102,NA,0
2180,25014.3,1.34,NA,,T-piece,28.73376295,-81.28939649,111.45,102,NA,0
2181,25015.64,1,11.7,spiral weld,,28.7337756,-81.28939411,111.45,102,NA,0
2182,25016.63,2.28,NA,,valve,28.73378468,-81.28939048,111.43,102,NA,0
2183,25018.91,3.03,NA,spiral weld,,NA,NA,NA,0,NA,0
2184,25021.94,NA,NA,spiral weld,end of inspection,NA,NA,NA,0,NA,0
